"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,6.76436765477469,92.7950184988871,4.93132995273669,38.5868300655299,31.6090098250679,0,0.680418929037915
"2",0.1,6.76435483043693,92.7950184710889,4.93132995274013,38.5868301101447,31.6090098899214,0,0.680418929041368
"3",0.2,6.76428616098369,92.7950181429488,4.93132995279899,38.5868306312132,31.6090106303237,0,0.680418929099609
"4",0.3,6.76412806645115,92.7950169203267,4.93132995313754,38.5868325565362,31.6090132990073,0,0.680418929434295
"5",0.4,6.7638539165834,92.7950139616935,4.9313299542559,38.5868371775619,31.6090195451493,0,0.680418930539693
"6",0.5,6.76344102920821,92.7950082164355,4.93132995700942,38.5868460789595,31.6090312800623,0,0.680418933261067
"7",0.6,6.7628695311607,92.7949984494657,4.93132996267357,38.5868610925207,31.6090505903594,0,0.680418938858674
"8",0.7,6.76212174653733,92.7949832598737,4.93132997299888,38.5868842621813,31.6090796751867,0,0.680418949062039
"9",0.8,6.76118181415065,92.7949610961282,4.93132999025768,38.5869178158299,31.6091207994471,0,0.680418966115957
"10",0.9,6.76003542495065,92.7949302691018,4.93133001728415,38.586964141549,31.6091762578664,0,0.680418992820009
"11",1,6.75866962990185,92.7948889636418,4.93133005750896,38.5870257669519,31.6092483470153,0,0.680419032562653
"12",1.1,6.75707269284278,92.7948352489507,4.93133011498872,38.5871053410747,31.6093393437337,0,0.680419089350196
"13",1.2,6.7552339735562,92.794767088123,4.93133019443112,38.5872056181464,31.6094514883428,0,0.680419167831526
"14",1.3,6.7531438321778,92.7946823469682,4.93133030121614,38.5873294429436,31.6095869717473,0,0.680419273318948
"15",1.4,6.75079354919684,92.7945788022423,4.93133044141371,38.5874797374701,31.6097479256671,0,0.680419411805491
"16",1.5,6.74817525718778,92.7944541493694,4.9313306217981,38.5876594887674,31.6099364153971,0,0.680419589979015
"17",1.6,6.74528188159428,92.7943060097177,4.93133084985937,38.5878717377104,31.6101544346383,0,0.680419815233393
"18",1.7,6.74210708864074,92.7941319374754,4.93133113381207,38.5881195686682,31.6104039020105,0,0.680420095677001
"19",1.8,6.73864523896321,92.7939294261702,4.93133148260146,38.5884060999362,31.6106866589328,0,0.680420440138754
"20",1.9,6.73489134590651,92.7936959148527,4.93133190590746,38.588734474863,31.6110044686294,0,0.680420858171845
"21",2,6.73084103768521,92.7934287939696,4.93133241414636,38.5891078536184,31.6113590160597,0,0.68042136005538
"22",2.1,6.7264905227725,92.7931254109606,4.93133301847066,38.5895294055218,31.6117519085659,0,0.680421956794092
"23",2.2,6.72183655803501,92.792783075583,4.93133373076705,38.5900023019049,31.612184677134,0,0.68042266011622
"24",2.3,6.71687641922889,92.7923990649708,4.93133456365268,38.590529709478,31.6126587781115,0,0.680423482469755
"25",2.4,6.71160787352659,92.7919706284658,4.93133553046988,38.5911147841375,31.6131755953083,0,0.680424437017122
"26",2.5,6.7060291538296,92.7914949922113,4.93133664527949,38.5917606652018,31.6137364423783,0,0.680425537628447
"27",2.6,6.70013893465272,92.7909693635295,4.93133792285272,38.5924704700444,31.6143425654163,0,0.680426798873513
"28",2.7,6.69393630940629,92.790390935087,4.93133937866193,38.5932472890985,31.614995145712,0,0.68042823601249
"29",2.8,6.68742076893095,92.7897568888597,4.93134102887017,38.5940941812121,31.6156953026049,0,0.680429864985542
"30",2.9,6.68059218116153,92.7890643999043,4.9313428903197,38.5950141693312,31.6164440964096,0,0.680431702401422
"31",3,6.6734507718168,92.7883106399443,4.93134498051954,38.596010236495,31.6172425313657,0,0.680433765525094
"32",3.1,6.665997106026,92.7874927807776,4.93134731763218,38.5970853221243,31.6180915585896,0,0.680436072264509
"33",3.2,6.65823207081463,92.7866079975151,4.93134992045939,38.5982423185855,31.6189920790048,0,0.68043864115655
"34",3.3,6.65015685839083,92.785653471644,4.93135280842742,38.5994840680267,31.6199449462244,0,0.680441491352328
"35",3.4,6.64177295016669,92.7846263939344,4.93135600157145,38.6008133594644,31.6209509693598,0,0.68044464260176
"36",3.5,6.63308210145638,92.7835239672176,4.93135952051939,38.6022329260777,31.622010915816,0,0.68044811523751
"37",3.6,6.62408632683418,92.782343408981,4.93136338647521,38.6037454427674,31.623125513938,0,0.68045193015849
"38",3.7,6.61478788609027,92.7810819538368,4.9313676212018,38.6053535239114,31.6242954555972,0,0.680456108812849
"39",3.8,6.60518927075428,92.7797368558543,4.93137224700335,38.6070597213207,31.6255213986867,0,0.680460673180506
"40",3.9,6.59529319116009,92.7783053907596,4.93137728670732,38.6088665223932,31.6268039695091,0,0.680465645755338
"41",4,6.58510256402106,92.7767848580064,4.93138276364612,38.6107763484499,31.628143765065,0,0.680471049527029
"42",4.1,6.57462050049099,92.7751725827255,4.93138870163852,38.6127915532448,31.6295413552389,0,0.680476907962634
"43",4.2,6.56385029468776,92.7734659175575,4.93139512497075,38.6149144216424,31.6309972848772,0,0.680483244987906
"44",4.3,6.552795412659,92.7716622443712,4.93140205837744,38.6171471684505,31.632512075765,0,0.680490084968422
"45",4.4,6.54145948177084,92.769758975873,4.93140952702238,38.6194919374049,31.6340862284966,0,0.680497452690539
"46",4.5,6.52984628050149,92.7677535571129,4.93141755647912,38.621950800295,31.6357202242453,0,0.680505373342232
"47",4.6,6.51795972862353,92.7656434668904,4.93142617271153,38.624525756225,31.6374145264317,0,0.680513872493831
"48",4.7,6.50580387776087,92.7634262190593,4.93143540205428,38.6272187310036,31.639169582291,0,0.680522976078713
"49",4.8,6.49338290230318,92.7610993637466,4.93144527119321,38.6300315766541,31.6409858243506,0,0.680532710373929
"50",4.9,6.48070109066829,92.758660488478,4.9314558071458,38.6329660710414,31.6428636718074,0,0.680543101980855
"51",5,6.46776283689748,92.7561072192184,4.93146703724163,38.6360239176069,31.6448035318184,0,0.680554177805861
"52",5.1,6.45457263257275,92.7534372213321,4.93147898910281,38.6392067452076,31.6468058007022,0,0.680565965041021
"53",5.2,6.44113505904469,92.7506482004629,4.93149169062459,38.6425161080533,31.648870865057,0,0.680578491144897
"54",5.3,6.42745477996066,92.7477379033403,4.931505169956,38.6459534857352,31.6509991027967,0,0.680591783823415
"55",5.4,6.41353653408269,92.7447041185139,4.93151945548061,38.6495202833436,31.6531908841097,0,0.680605871010843
"56",5.5,6.39938512838615,92.7415446770172,4.93153457579744,38.6532178316662,31.6554465723411,0,0.680620780850945
"57",5.6,6.38500543142913,92.7382574529679,4.93155055970197,38.6570473874659,31.6577665248078,0,0.680636541678207
"58",5.7,6.37040236698408,92.7348403641026,4.93156743616745,38.6610101338298,31.6601510935342,0,0.680653181999346
"59",5.8,6.3555809079236,92.7312913722554,4.93158523432617,38.6651071805903,31.6626006259399,0,0.680670730474839
"60",5.9,6.3405460703518,92.7276084837762,4.93160398345109,38.6693395648084,31.6651154654537,0,0.680689215900756
"61",6,6.32530290794305,92.7237897499103,4.93162371293779,38.673708251289,31.6676959520596,0,0.680708667190919
"62",6.1,6.30985650668695,92.7198332670263,4.93164445228611,38.6782141333178,31.6703424228222,0,0.680729113358804
"63",6.2,6.29421197942264,92.7157371770464,4.93166623108298,38.6828580330568,31.6730552123044,0,0.680750583500537
"64",6.3,6.2783744611572,92.7114996674981,4.93168907898443,38.6876407024973,31.6758346529848,0,0.680773106777132
"65",6.4,6.26234910417651,92.7071189717612,4.93171302569855,38.6925628240937,31.6786810756001,0,0.680796712397692
"66",6.5,6.24614107351599,92.7025933691817,4.93173810096852,38.6976250115751,31.6815948094501,0,0.680821429602633
"67",6.6,6.22975554260607,92.6979211851569,4.93176433455585,38.7028278107826,31.6845761826607,0,0.680847287647117
"68",6.7,6.21319768910409,92.6931007911839,4.93179175622395,38.7081717005387,31.6876255224042,0,0.68087431578486
"69",6.8,6.19647269090826,92.6881306048701,4.93182039572206,38.713657093549,31.690743155084,0,0.680902543252231
"70",6.9,6.17958572235197,92.68300908991,4.93185028276929,38.7192843373417,31.693929406484,0,0.680931999252523
"71",7,6.16254195056761,92.677734756027,4.93188144703906,38.7250537152323,31.6971846018839,0,0.680962712940597
"72",7.1,6.14534653201345,92.6723061588872,4.93191391814396,38.7309654473096,31.7005090661424,0,0.680994713407879
"73",7.2,6.12755373541397,92.6667208210019,4.9319477256754,38.7370210305498,31.7039031222713,0,0.681028029721457
"74",7.3,6.10908325122674,92.6609698473974,4.93198290054447,38.743229856832,31.7073670525323,0,0.681062692245002
"75",7.4,6.09044873069313,92.6550502268341,4.93201947513441,38.7495939009427,31.7109011053367,0,0.681098732788643
"76",7.5,6.07165464490622,92.6489603881652,4.9320574818207,38.7561133375333,31.714505542428,0,0.68113618315078
"77",7.6,6.05270545354486,92.6426987991859,4.93209695288331,38.762788289406,31.718180639746,0,0.681175075031657
"78",7.7,6.03360560427394,92.6362639664311,4.93213792049477,38.7696188283313,31.7219266859179,0,0.681215440021531
"79",7.8,6.01435953202411,92.6296544349541,4.93218041670837,38.7766049758926,31.7257439808718,0,0.681257309589068
"80",7.9,5.99497165816179,92.6228687881146,4.93222447344672,38.7837467043211,31.729632834578,0,0.681300715069988
"81",8,5.97544638959478,92.6159056473704,4.93227012249043,38.7910439373266,31.7335935658965,0,0.681345687655946
"82",8.1,5.95578811783692,92.6087636720747,4.93231739546712,38.7984965509236,31.7376265015235,0,0.681392258383641
"83",8.2,5.93600121804534,92.6014415592724,4.93236632384059,38.8061043742539,31.7417319750245,0,0.681440458124151
"84",8.3,5.91609004803683,92.5939380435021,4.93241693890033,38.8138671904024,31.7459103259487,0,0.681490317572542
"85",8.4,5.89605894731636,92.5862518965925,4.93246927175105,38.8217847372191,31.7501618990019,0,0.681541867237582
"86",8.5,5.87591223608717,92.5783819274646,4.93252335330267,38.8298567081283,31.7544870432931,0,0.681595137431785
"87",8.6,5.8556542142722,92.57032698193,4.93257921426037,38.8380827529386,31.7588861116312,0,0.681650158261648
"88",8.7,5.83528916054472,92.5620859424896,4.93263688511492,38.8464624786496,31.7633594598715,0,0.681706959618086
"89",8.8,5.81482133136192,92.5536577281362,4.9326963961332,38.8549954502485,31.7679074463065,0,0.681765571167063
"90",8.9,5.794254960051,92.5450412941266,4.93275777734908,38.8636811915362,31.772530431097,0,0.68182602234058
"91",9,5.77359425583723,92.5362356318101,4.93282105855417,38.872519185887,31.7772287757349,0,0.681888342327574
"92",9.1,5.75284340296105,92.5272397683972,4.93288626928916,38.8815088770662,31.7820028425432,0,0.681952560065324
"93",9.2,5.73200655977854,92.5180527667534,4.93295343883513,38.8906496700141,31.7868529942004,0,0.682018704230922
"94",9.3,5.71108785788989,92.5086737251881,4.93302259620516,38.8999409316333,31.7917795932912,0,0.682086803232957
"95",9.4,5.69009140128611,92.4991017772385,4.93309377013614,38.9093819915708,31.7967830018811,0,0.682156885203417
"96",9.5,5.66902126551732,92.4893360914512,4.93316698908073,38.9189721429961,31.8018635811103,0,0.682228977989794
"97",9.6,5.64788149688296,92.4793758711643,4.93324228119958,38.9287106433768,31.8070216908074,0,0.682303109147371
"98",9.7,5.62667611164373,92.4692203542823,4.93331967435369,38.9385967152491,31.8122576891185,0,0.68237930593171
"99",9.8,5.60540909525425,92.4588688130535,4.93339919609706,38.9486295469836,31.8175719321532,0,0.682457595291341
"100",9.9,5.58408440161913,92.4483205538404,4.9334808736694,38.9588082935474,31.8229647736436,0,0.682538003860635
"101",10,5.56270595237015,92.4375749168919,4.93356473398913,38.9691320772617,31.8284365646155,0,0.682620557952873
"102",10.1,5.54127763616632,92.4266312761089,4.93365080364659,38.9795999885538,31.8339876530724,0,0.682705283553495
"103",10.2,5.51980330801508,92.4154890388117,4.93373910889733,38.9902110867051,31.8396183836896,0,0.68279220631355
"104",10.3,5.49828678861698,92.404147645501,4.93382967565565,39.0009644005943,31.8453290975175,0,0.682881351543306
"105",10.4,5.476731863731,92.3926065696194,4.9339225294884,39.0118589294356,31.8511201316951,0,0.682972744206071
"106",10.5,5.45514228356198,92.38086531731,4.93401769560878,39.0228936435108,31.8569918191712,0,0.683066408912174
"107",10.6,5.4335217621702,92.3689234271718,4.93411519887052,39.0340674848978,31.8629444884339,0,0.683162369913138
"108",10.7,5.41187397690143,92.3567804700143,4.9342150637621,39.0453793681919,31.868978463248,0,0.683260651096027
"109",10.8,5.39020256783912,92.3444360486083,4.93431731440121,39.0568281812236,31.8750940623982,0,0.683361275977967
"110",10.9,5.36851113727734,92.3318897974364,4.93442197452937,39.0684127857701,31.8812915994398,0,0.683464267700841
"111",11,5.34680324921403,92.3191413824402,4.93452906750674,39.0801320182612,31.8875713824567,0,0.683569649026162
"112",11.1,5.3250824288644,92.3061905007669,4.93463861630707,39.0919846904775,31.8939337138237,0,0.68367744233013
"113",11.2,5.30335216219718,92.2930368805119,4.93475064351286,39.1039695902487,31.900378889976,0,0.683787669598818
"114",11.3,5.28149163924782,92.2796798431624,4.93486517135254,39.1160860136818,31.9069072005146,0,0.683900352464676
"115",11.4,5.25956118430971,92.2661177255605,4.93498222196773,39.1283344540219,31.9135189180261,0,0.68401551247007
"116",11.5,5.23762504613945,92.2523501646039,4.93510181736463,39.140713815612,31.9202143050481,0,0.684133171018718
"117",11.6,5.21568641294395,92.2383769335647,4.93522397914254,39.1532228513665,31.9269936199282,0,0.684253349108778
"118",11.7,5.19374843115603,92.2241978337114,4.93534872849971,39.1658602949737,31.9338571167029,0,0.684376067338489
"119",11.8,5.17181420505808,92.2098126940555,4.9354760862291,39.1786248615175,31.9408050446339,0,0.68450134590203
