"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,30.3539096155249,191.724503391326,5.42527066412377,57.4216783137214,47.9601795634778,0,1.17937456479123
"2",0.1,30.3538967902194,191.724503450137,5.42527066412382,57.4216783242172,47.9601796286518,0,1.17937456479128
"3",0.2,30.3538281145196,191.724504130833,5.42527066412491,57.4216784465593,47.9601803775699,0,1.17937456479237
"4",0.3,30.3536700007173,191.724506620172,5.42527066413128,57.4216788974372,47.9601830943078,0,1.17937456479874
"5",0.4,30.3533958047005,191.724512532897,5.42527066415231,57.4216799767332,47.9601894936519,0,1.17937456481977
"6",0.5,30.3529828222173,191.724523805429,5.42527066420401,57.4216820502587,47.9602015918766,0,1.17937456487148
"7",0.6,30.3524111481681,191.724542626072,5.42527066431015,57.4216855384005,47.9602216217564,0,1.17937456497764
"8",0.7,30.3516630635073,191.724571382881,5.42527066450324,57.4216909075074,47.9602519695897,0,1.17937456517076
"9",0.8,30.3507226515637,191.724612622816,5.42527066482532,57.421698662975,47.9602951267127,0,1.17937456549288
"10",0.9,30.3495755344494,191.72466901844,5.42527066532862,57.4217093434384,47.9603536508052,0,1.17937456599626
"11",1,30.3482086801751,191.724743340285,5.42527066607616,57.4217235157857,47.9604301346461,0,1.17937456674391
"12",1.1,30.3466102547605,191.724838433567,5.42527066714217,57.4217417707967,47.9605271806218,0,1.17937456781008
"13",1.2,30.3447695047136,191.724957198373,5.4252706686125,57.4217647192825,47.960647379843,0,1.17937456928062
"14",1.3,30.3426766609447,191.725102572711,5.4252706705849,57.4217929886358,47.9607932950193,0,1.17937457125332
"15",1.4,30.340322858356,191.725277517887,5.42527067316932,57.4218272197267,47.9609674464188,0,1.17937457383811
"16",1.5,30.3377000672442,191.72548500588,5.42527067648798,57.421868064091,47.9611723004142,0,1.17937457715725
"17",1.6,30.3348010338176,191.725728008376,5.42527068067561,57.4219161813725,47.9614102601846,0,1.17937458134548
"18",1.7,30.3316192279529,191.726009487324,5.42527068587944,57.4219722370092,47.961683658309,0,1.17937458655006
"19",1.8,30.3281487966475,191.726332386603,5.42527069225929,57.4220369000797,47.9619947508073,0,1.17937459293082
"20",1.9,30.3243845222808,191.726699624898,5.42527069998752,57.4221108413686,47.9623457126196,0,1.17937460066014
"21",2,30.3203217847456,191.727114089476,5.42527070924898,57.4221947315738,47.9627386341669,0,1.1793746099229
"22",2.1,30.3159565268711,191.727578630785,5.42527072024097,57.4222892396642,47.9631755188864,0,1.17937462091642
"23",2.2,30.3112852226373,191.728096057803,5.42527073317307,57.4223950313719,47.9636582815977,0,1.17937463385032
"24",2.3,30.3063048477841,191.72866913401,5.42527074826705,57.4225127678075,47.9641887475757,0,1.17937464894638
"25",2.4,30.3010128524971,191.729300573941,5.42527076575664,57.4226431041872,47.9647686522213,0,1.17937466643838
"26",2.5,30.2954071359146,191.729993040254,5.42527078588742,57.4227866886673,47.9653996412469,0,1.17937468657191
"27",2.6,30.2894860222374,191.730749141212,5.42527080891652,57.4229441612731,47.9660832712988,0,1.17937470960414
"28",2.7,30.2832482382688,191.731571428602,5.42527083511245,57.4231161529197,47.9668210109438,0,1.17937473580362
"29",2.8,30.2766928922342,191.73246239599,5.42527086475481,57.4233032845165,47.9676142419652,0,1.17937476544998
"30",2.9,30.269819453756,191.733424477279,5.42527089813405,57.4235061661492,47.9684642609161,0,1.17937479883369
"31",3,30.2626277348839,191.73446004558,5.42527093555117,57.4237253963381,47.9693722808786,0,1.17937483625581
"32",3.1,30.2551178720723,191.735571412301,5.42527097731743,57.4239615613599,47.970339433413,0,1.17937487802761
"33",3.2,30.2472903090539,191.736760826476,5.42527102375404,57.4242152346404,47.9713667706185,0,1.17937492447036
"34",3.3,30.2391457805107,191.738030474298,5.42527107519184,57.4244869762008,47.9724552673399,0,1.17937497591493
"35",3.4,30.2306852965109,191.739382478807,5.42527113197099,57.4247773321651,47.9736058234331,0,1.17937503270152
"36",3.5,30.2219101276452,191.740818899779,5.42527119444062,57.42508683432,47.9748192660984,0,1.17937509517931
"37",3.6,30.2128217908196,191.742341733708,5.42527126295849,57.4254159997247,47.9760963522581,0,1.17937516370608
"38",3.7,30.2034220356649,191.743952913941,5.42527133789066,57.4257653303667,47.9774377709612,0,1.17937523864794
"39",3.8,30.1937128315268,191.745654310925,5.42527141961109,57.4261353128636,47.9788441457991,0,1.17937532037891
"40",3.9,30.1836963550043,191.747447732546,5.42527150850136,57.4265264182047,47.9803160373191,0,1.17937540928058
"41",4,30.1733749780078,191.74933492456,5.42527160495022,57.426939101534,47.9818539454262,0,1.17937550574178
"42",4.1,30.1627512563091,191.751317571101,5.42527170935332,57.4273738019676,47.9834583117622,0,1.17937561015817
"43",4.2,30.1518279185594,191.753397295258,5.42527182211277,57.4278309424476,47.9851295220649,0,1.17937572293192
"44",4.3,30.1406078557559,191.755575659714,5.42527194363681,57.4283109296276,47.9868679084798,0,1.17937584447132
"45",4.4,30.1290941111336,191.757854167445,5.42527207433945,57.4288141537894,47.988673751836,0,1.17937597519042
"46",4.5,30.1172898704644,191.760234262446,5.42527221464009,57.4293409887881,47.9905472838789,0,1.17937611550867
"47",4.6,30.1051984527484,191.762717330526,5.42527236496316,57.4298917920238,47.9924886894499,0,1.17937626585053
"48",4.7,30.0928233012778,191.765304700109,5.42527252573776,57.4304669044395,47.9944981086149,0,1.17937642664516
"49",4.8,30.0801679750614,191.767997643096,5.42527269739729,57.4310666505421,47.9965756387388,0,1.17937659832601
"50",4.9,30.0672361405938,191.770797375723,5.42527288037911,57.4316913384456,47.9987213365021,0,1.17937678133047
"51",5,30.0540315639568,191.773705059464,5.42527307512416,57.4323412599354,48.0009352198606,0,1.17937697609954
"52",5.1,30.0405581032405,191.776721801945,5.42527328207663,57.4330166905514,48.0032172699454,0,1.17937718307745
"53",5.2,30.0268197012711,191.779848657864,5.42527350168358,57.4337178896899,48.0055674329007,0,1.17937740271131
"54",5.3,30.0128203786365,191.783086629941,5.42527373439464,57.4344451007223,48.0079856216717,0,1.1793776354508
"55",5.4,29.9985642269967,191.78643666986,5.42527398066162,57.4351985511285,48.0104717177184,0,1.17937788174777
"56",5.5,29.9840554026692,191.789899679234,5.42527424093821,57.435978452646,48.0130255726814,0,1.17937814205596
"57",5.6,29.9692981204812,191.793476510561,5.42527451567962,57.4367850014325,48.0156470099839,0,1.17937841683063
"58",5.7,29.9542966478772,191.797167968184,5.42527480534228,57.4376183782397,48.0183358263771,0,1.17937870652826
"59",5.8,29.939055299274,191.800974809282,5.4252751103835,57.4384787486005,48.0210917934276,0,1.17937901160618
"60",5.9,29.9235784306552,191.804897744797,5.42527543126115,57.4393662630252,48.0239146589484,0,1.17937933252234
"61",6,29.9078704343947,191.808937440432,5.42527576843336,57.4402810572084,48.0268041483758,0,1.17937966973491
"62",6.1,29.8919357343042,191.813094517596,5.42527612235823,57.4412232522446,48.029759966089,0,1.17938002370203
"63",6.2,29.8757787808936,191.817369554367,5.4252764934935,57.4421929548515,48.0327817966823,0,1.17938039488147
"64",6.3,29.85940404684,191.82176308643,5.42527688229626,57.4431902576013,48.0358693061805,0,1.1793807837304
"65",6.4,29.8428160226568,191.82627560804,5.4252772892227,57.4442152391587,48.0390221432084,0,1.17938119070503
"66",6.5,29.8260192125545,191.830907572952,5.42527771472778,57.4452679645242,48.0422399401073,0,1.17938161626038
"67",6.6,29.8090146130351,191.835659398917,5.42527815926506,57.4463484901014,48.045522314209,0,1.17938206085004
"68",6.7,29.7918100232216,191.840531464659,5.42527862328642,57.4474568596259,48.0488688680308,0,1.17938252492595
"69",6.8,29.7744100643091,191.84552410842,5.42527910724182,57.4485930989077,48.0522791915484,0,1.17938300893811
