"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,5.46541430412129,87.9920231352038,5.084007946075,41.5828033763756,36.2364372722666,0,0.830350947377361
"2",0.1,5.46541430461316,87.9920231349275,5.08400794609349,41.5828033767319,36.2364372726824,0,0.830350947395625
"3",0.2,5.46541430509876,87.9920231346585,5.08400794611198,41.5828033770815,36.2364372730986,0,0.830350947413885
"4",0.3,5.46541430557804,87.9920231343966,5.08400794613046,41.5828033774243,36.2364372735153,0,0.830350947432138
"5",0.4,5.46541430605088,87.9920231341419,5.08400794614893,41.5828033777607,36.2364372739322,0,0.830350947450382
"6",0.5,5.4654143065164,87.992023133894,5.08400794616739,41.5828033780907,36.2364372743497,0,0.830350947468616
"7",0.6,5.46541430697164,87.9920231336529,5.08400794618584,41.5828033784146,36.2364372747677,0,0.830350947486839
"8",0.7,5.46541430740757,87.9920231334186,5.08400794620428,41.5828033787326,36.236437275186,0,0.830350947505048
"9",0.8,5.46541430780147,87.9920231331904,5.0840079462227,41.5828033790453,36.2364372756048,0,0.830350947523243
"10",0.9,5.46541430810269,87.9920231329676,5.0840079462411,41.5828033793535,36.236437276024,0,0.830350947541423
"11",1,5.46541430820924,87.9920231327484,5.08400794625949,41.5828033796592,36.2364372764437,0,0.830350947559587
"12",1.1,5.46541430793095,87.9920231325287,5.08400794627786,41.5828033799662,36.2364372768637,0,0.830350947577734
"13",1.2,5.46541430693454,87.9920231323013,5.08400794629621,41.5828033802818,36.2364372772839,0,0.830350947595866
"14",1.3,5.4654143046657,87.9920231320532,5.08400794631456,41.5828033806193,36.236437277704,0,0.830350947613986
"15",1.4,5.46541430024156,87.9920231317611,5.0840079463329,41.5828033810012,36.2364372781233,0,0.830350947632104
"16",1.5,5.46541429230641,87.9920231313875,5.08400794635125,41.582803381465,36.2364372785418,0,0.830350947650232
"17",1.6,5.46541427884508,87.9920231308719,5.08400794636963,41.5828033820704,36.236437278958,0,0.8303509476684
"18",1.7,5.46541425694319,87.99202313012,5.08400794638811,41.5828033829096,36.23643727937,0,0.83035094768665
"19",1.8,5.4654142224878,87.992023128991,5.08400794640675,41.5828033841214,36.236437279775,0,0.830350947705057
"20",1.9,5.46541416979916,87.9920231272776,5.08400794642566,41.5828033859087,36.2364372801685,0,0.830350947723735
"21",2,5.46541409118305,87.992023124682,5.08400794644503,41.5828033885628,36.2364372805433,0,0.83035094774286
"22",2.1,5.46541397639741,87.992023120786,5.08400794646513,41.582803392493,36.2364372808912,0,0.830350947762685
"23",2.2,5.46541381201936,87.99202311501,5.08400794648633,41.5828033982636,36.2364372811975,0,0.830350947783589
"24",2.3,5.46541358070733,87.9920231065678,5.0840079465092,41.5828034066409,36.2364372814435,0,0.830350947806109
"25",2.4,5.4654132603456,87.9920230944051,5.0840079465345,41.5828034186492,36.2364372816022,0,0.830350947830996
"26",2.5,5.46541282307523,87.99202307713,5.08400794656331,41.582803435639,36.236437281638,0,0.83035094785929
"27",2.6,5.46541223416926,87.9920230529264,5.08400794659708,41.58280345937,36.2364372815029,0,0.830350947892405
"28",2.7,5.465411450791,87.9920230194531,5.08400794663776,41.5828034921058,36.2364372811338,0,0.830350947932241
"29",2.8,5.46541042059174,87.9920229737242,5.08400794668795,41.5828035367289,36.2364372804483,0,0.830350947981318
"30",2.9,5.46540908016032,87.9920229119703,5.08400794675105,41.5828035968724,36.2364372793403,0,0.830350948042941
"31",3,5.46540735331196,87.9920228294758,5.08400794683148,41.5828036770731,36.2364372776746,0,0.8303509481214
"32",3.1,5.46540514921484,87.9920227203932,5.0840079469349,41.5828037829462,36.2364372752806,0,0.830350948222206
"33",3.2,5.46540236035089,87.9920225775323,5.08400794706854,41.5828039213858,36.2364372719451,0,0.830350948352377
"34",3.3,5.46539886030966,87.9920223921176,5.08400794724152,41.5828041007904,36.2364372674039,0,0.830350948520771
"35",3.4,5.46539450141456,87.9920221535162,5.08400794746524,41.5828043313176,36.2364372613324,0,0.830350948738476
"36",3.5,5.46538911218318,87.9920218489335,5.08400794775389,41.5828046251692,36.2364372533347,0,0.830350949019265
"37",3.6,5.46538249462268,87.9920214630719,5.08400794812495,41.5828049969076,36.2364372429319,0,0.830350949380129
"38",3.7,5.46537442136612,87.9920209777519,5.08400794859984,41.5828054638071,36.2364372295483,0,0.830350949841877
"39",3.8,5.46536463265619,87.9920203714945,5.08400794920462,41.5828060462404,36.2364372124965,0,0.830350950429833
"40",3.9,5.46535283317992,87.9920196190606,5.08400794997083,41.5828067681023,36.2364371909614,0,0.830350951174629
"41",4,5.46533868876722,87.9920186909482,5.08400795093638,41.5828076572723,36.2364371639819,0,0.830350952113097
"42",4.1,5.46532182296015,87.9920175528422,5.08400795214661,41.5828087461173,36.236437130431,0,0.830350953289279
"43",4.2,5.46530181346781,87.992016165019,5.08400795365545,41.5828100720356,36.2364370889933,0,0.830350954755563
"44",4.3,5.46527818851709,87.9920144817017,5.08400795552671,41.5828116780428,36.2364370381457,0,0.830350956573946
"45",4.4,5.46525042311618,87.9920124503649,5.08400795783558,41.5828136134012,36.2364369761296,0,0.830350958817448
"46",4.5,5.46521793524562,87.99201001099,5.08400796067018,41.5828159342922,36.2364369009253,0,0.83035096157167
"47",4.6,5.46518008199435,87.9920070952683,5.08400796413337,41.582818704533,36.2364368102245,0,0.830350964936525
"48",4.7,5.46513615565957,87.9920036257509,5.0840079683447,41.5828219963372,36.2364367014003,0,0.830350969028133
"49",4.8,5.46508537982868,87.9919995149479,5.08400797344256,41.5828258911187,36.236436571476,0,0.830350973980901
"50",4.9,5.46502690546458,87.991994664374,5.08400797958651,41.5828304803397,36.2364364170943,0,0.830350979949804
"51",5,5.46495980701556,87.9919889635404,5.08400798695985,41.5828358664007,36.2364362344823,0,0.830350987112856
