"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,6.76436765477469,92.7950184988871,4.93132995273669,38.5868300655299,31.6090098250679,0,0.680418929037915
"2",0.1,6.76433079727006,92.7950184134157,4.93132995274541,38.5868302023387,31.6090100237041,0,0.68041892904659
"3",0.2,6.76416788801258,92.7950175677489,4.93132995290417,38.5868315438308,31.6090119249241,0,0.680418929203579
"4",0.3,6.76383100746471,92.7950147311186,4.93132995373619,38.5868360044931,31.6090180816944,0,0.68041893002601
"5",0.4,6.76328615933395,92.7950083345002,4.9313299562996,38.5868459767269,31.6090314837966,0,0.680418932559626
"6",0.5,6.76250581379679,92.7949965420624,4.9313299622861,38.5868642060743,31.6090553457482,0,0.680418938476075
"7",0.6,6.76146650208601,92.7949772905229,4.93132997409621,38.5868937215317,31.6090929925726,0,0.680418950147215
"8",0.7,6.76014764852993,92.7949483158508,4.93132999490017,38.5869377882958,31.6091477883128,0,0.68041897070504
"9",0.8,6.75853089783784,92.7949071734292,4.93133002868829,38.5869998724456,31.6092230884324,0,0.680419004091322
"10",0.9,6.75659968633241,92.7948512542568,4.9313300803134,38.5870836130065,31.609322207308,0,0.680419055099377
"11",1,6.7543389484312,92.794777798604,4.93133015552677,38.5871927988868,31.6094483958925,0,0.680419129409347
"12",1.1,6.75173490630028,92.794683907824,4.9313302610086,38.5873313493609,31.6096048265326,0,0.680419233618194
"13",1.2,6.74877491258911,92.7945665548556,4.93133040439393,38.5875032971212,31.6097945829559,0,0.680419375265072
"14",1.3,6.74544732936403,92.7944225937059,4.93133059429438,38.5877127733382,31.6100206540756,0,0.680419562852688
"15",1.4,6.74174143253225,92.7942487681314,4.93133084031641,38.587963994304,31.6102859306366,0,0.680419805865113
"16",1.5,6.73764733477998,92.7940417196668,4.93133115307624,38.5882612493603,31.6105932039837,0,0.680420114782401
"17",1.6,6.73315592229514,92.7937979951149,4.93133154421195,38.5886088898904,31.6109451664352,0,0.68042050109234
"18",1.7,6.72825880197477,92.7935140535773,4.93133202639283,38.5890113192029,31.6113444128424,0,0.680420977299563
"19",1.8,6.72294825676172,92.7931862730912,4.93133261332636,38.5894729831807,31.6117934430336,0,0.680421556932251
"20",1.9,6.71721720736974,92.7928109569194,4.93133331976289,38.5899983615916,31.6122946649022,0,0.680422254546627
"21",2,6.71105917911287,92.7923843395378,4.93133416149827,38.5905919599744,31.6128503979529,0,0.680423085729369
"22",2.1,6.7044682728379,92.7919025923458,4.93133515537447,38.5912583020416,31.6134628771565,0,0.680424067098131
"23",2.2,6.69743913921878,92.791361829129,4.93133631927851,38.5920019225353,31.6141342570037,0,0.68042521630027
"24",2.3,6.6899669557997,92.7907581112964,4.93133767213954,38.5928273605002,31.6148666156651,0,0.680426552009915
