"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,5.04972632716064,84.5835256376545,5.23842130163934,45.0341711454643,39.4233503783717,0,0.981945016121324
"2",0.1,5.0497263271264,84.583525637655,5.23842130163934,45.0341711454639,39.4233503783717,0,0.981945016121324
"3",0.2,5.04972632711865,84.5835256376551,5.23842130163934,45.0341711454639,39.4233503783717,0,0.981945016121324
"4",0.3,5.04972632711284,84.5835256376552,5.23842130163934,45.0341711454638,39.4233503783717,0,0.981945016121324
"5",0.4,5.04972632709734,84.5835256376554,5.23842130163934,45.0341711454636,39.4233503783717,0,0.981945016121324
"6",0.5,5.04972632706504,84.5835256376557,5.23842130163934,45.0341711454633,39.4233503783717,0,0.981945016121324
"7",0.6,5.0497263270715,84.5835256376557,5.23842130163934,45.0341711454633,39.4233503783717,0,0.981945016121324
"8",0.7,5.04972631966764,84.5835256377396,5.23842130163936,45.0341711453833,39.4233503783706,0,0.981945016121336
"9",0.8,5.04972647659811,84.5835256359613,5.23842130163911,45.0341711470797,39.4233503783952,0,0.981945016121101
"10",0.9,5.04972675298825,84.5835256328293,5.23842130163867,45.0341711500674,39.4233503784386,0,0.981945016120687
"11",1,5.04972627185522,84.5835256382815,5.23842130163943,45.0341711448665,39.4233503783631,0,0.981945016121407
"12",1.1,5.04972581717376,84.5835256434338,5.23842130164015,45.0341711399515,39.4233503782917,0,0.981945016122087
"13",1.2,5.04972584717158,84.5835256430939,5.2384213016401,45.0341711402758,39.4233503782964,0,0.981945016122043
"14",1.3,5.04972612320581,84.5835256399658,5.23842130163967,45.0341711432597,39.4233503783397,0,0.98194501612163
"15",1.4,5.04972651271048,84.5835256355521,5.23842130163905,45.0341711474701,39.4233503784009,0,0.981945016121047
"16",1.5,5.04972623415059,84.5835256387087,5.23842130163949,45.0341711444589,39.4233503783571,0,0.981945016121463
"17",1.6,5.04972632416473,84.5835256376887,5.23842130163935,45.0341711454319,39.4233503783713,0,0.981945016121329
"18",1.7,5.04972646047202,84.5835256361441,5.23842130163913,45.0341711469054,39.4233503783927,0,0.981945016121125
"19",1.8,5.04972626705906,84.5835256383358,5.23842130163944,45.0341711448146,39.4233503783623,0,0.981945016121414
"20",1.9,5.04972692634905,84.5835256308649,5.2384213016384,45.0341711519414,39.4233503784658,0,0.981945016120428
"21",2,5.04972645479091,84.5835256362085,5.23842130163914,45.034171146844,39.4233503783917,0,0.981945016121133
"22",2.1,5.04972644107033,84.583525636364,5.23842130163916,45.0341711466956,39.4233503783896,0,0.981945016121154
"23",2.2,5.04972637240542,84.5835256371422,5.23842130163927,45.0341711459534,39.4233503783788,0,0.981945016121257
"24",2.3,5.04972640552834,84.5835256367668,5.23842130163922,45.0341711463115,39.423350378384,0,0.981945016121207
"25",2.4,5.0497263617996,84.5835256372624,5.23842130163929,45.0341711458388,39.4233503783771,0,0.981945016121272
"26",2.5,5.04972646729258,84.583525636067,5.23842130163912,45.0341711469792,39.4233503783936,0,0.981945016121115
